Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:18 PM    7   31.00    0.00   11.00    0.00    0.00   56.00    0.00    0.00    0.00    2.00
04:18:18 PM    8   13.13    0.00   19.19    0.00    0.00   65.66    0.00    0.00    0.00    2.02
04:18:18 PM    9    2.97    0.00   16.83    0.00    0.99   72.28    0.00    0.00    0.00    6.93
04:18:18 PM   10    6.00    0.00   16.00    0.00    1.00   75.00    0.00    0.00    0.00    2.00
04:18:18 PM   11   38.61    0.00   10.89    0.00    0.99   47.52    0.00    0.00    0.00    1.98
04:18:18 PM   12   45.54    0.00   13.86    0.00    0.99   38.61    0.00    0.00    0.00    0.99
04:18:18 PM   13    6.93    0.00   14.85    0.00    0.99   74.26    0.00    0.00    0.00    2.97
04:18:18 PM   14    1.01    0.00   15.15    0.00    0.00   79.80    0.00    0.00    0.00    4.04
04:18:18 PM   15    1.02    0.00   14.29    0.00    0.00   80.61    0.00    0.00    0.00    4.08

04:18:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:19 PM  all    7.82    0.13   14.64    0.00    0.63   73.84    0.00    0.00    0.00    2.94
04:18:19 PM    0    1.01    0.00   14.14    0.00    1.01   80.81    0.00    0.00    0.00    3.03
04:18:19 PM    1    2.00    0.00   16.00    0.00    0.00   79.00    0.00    0.00    0.00    3.00
04:18:19 PM    2    0.99    0.00   21.78    0.00    0.99   74.26    0.00    0.00    0.00    1.98
04:18:19 PM    3    1.00    0.00   15.00    0.00    0.00   81.00    0.00    0.00    0.00    3.00
04:18:19 PM    4   23.23    0.00   13.13    0.00    0.00   61.62    0.00    0.00    0.00    2.02
04:18:19 PM    5    1.98    0.00   14.85    0.00    0.99   76.24    0.00    0.00    0.00    5.94
04:18:19 PM    6    0.99    0.00   14.85    0.00    0.99   80.20    0.00    0.00    0.00    2.97
04:18:19 PM    7    1.00    0.00   15.00    0.00    1.00   81.00    0.00    0.00    0.00    2.00
04:18:19 PM    8    4.00    0.00   16.00    0.00    1.00   78.00    0.00    0.00    0.00    1.00
04:18:19 PM    9   28.00    0.00   12.00    0.00    1.00   57.00    0.00    0.00    0.00    2.00
